Name,Position,Club,Market Value,Age,Primary Nationality,Secondary Nationality,Matches Played,Goals,Assists,Yellow Cards,Red Cards,Substituted In,Substituted Out,Second Yellow Cards,Own Goals
Erling Haaland,Centre-Forward,Manchester City,200000000,24,Norway,-,15,14,0,1,0,0,2,0,0
Vinicius Junior,Left Winger,Real Madrid,200000000,24,Brazil,Spain,13,5,7,4,0,1,7,0,0
Jude Bellingham,Attacking Midfield,Real Madrid,180000000,21,England,Ireland,11,1,2,3,0,0,5,0,0
Kylian Mbappé,Centre-Forward,Real Madrid,180000000,25,France,Cameroon,14,8,1,1,0,2,7,0,0
Lamine Yamal,Right Winger,FC Barcelona,150000000,17,Spain,Equatorial Guinea,14,5,6,2,0,1,9,0,0
Phil Foden,Right Winger,Manchester City,150000000,24,England,-,10,1,2,0,0,6,3,0,0
Bukayo Saka,Right Winger,Arsenal FC,140000000,23,England,Nigeria,13,3,7,2,0,0,9,0,0
Florian Wirtz,Attacking Midfield,Bayer 04 Leverkusen,130000000,21,Germany,-,15,7,3,3,0,3,4,0,0
Jamal Musiala,Attacking Midfield,Bayern Munich,130000000,21,Germany,England,10,4,6,1,0,1,5,0,0
Federico Valverde,Central Midfield,Real Madrid,130000000,26,Uruguay,Spain,13,3,2,3,0,0,2,0,0
Rodri,Defensive Midfield,Manchester City,130000000,28,Spain,-,4,0,0,0,0,1,2,0,0
Declan Rice,Defensive Midfield,Arsenal FC,120000000,25,England,Ireland,14,3,2,3,0,0,3,1,0
Rodrygo,Right Winger,Real Madrid,110000000,23,Brazil,Spain,12,3,2,0,0,4,7,0,0
Lautaro Martínez,Centre-Forward,Inter Milan,110000000,27,Argentina,-,8,3,3,0,0,2,4,0,0
Martin Ødegaard,Attacking Midfield,Arsenal FC,110000000,25,Norway,-,5,0,0,1,0,0,2,0,0
Eduardo Camavinga,Central Midfield,Real Madrid,100000000,21,France,Congo,5,1,1,2,0,1,4,0,0
Aurélien Tchouaméni,Defensive Midfield,Real Madrid,100000000,24,France,Cameroon,14,0,0,0,0,0,3,1,0
Harry Kane,Centre-Forward,Bayern Munich,100000000,31,England,-,13,15,6,1,0,1,6,0,0
Gavi,Central Midfield,FC Barcelona,90000000,20,Spain,-,0,0,0,0,0,0,0,0,0
Cole Palmer,Attacking Midfield,Chelsea FC,90000000,22,England,-,12,6,5,3,0,2,3,0,0
Bruno Guimarães,Defensive Midfield,Newcastle United,85000000,26,Brazil,Spain,10,0,1,3,0,2,2,0,0
Pedri,Central Midfield,FC Barcelona,80000000,21,Spain,-,15,2,2,1,0,4,8,0,0
Xavi Simons,Attacking Midfield,RB Leipzig,80000000,21,Netherlands,Suriname,14,4,2,3,0,0,5,0,0
Khvicha Kvaratskhelia,Left Winger,SSC Napoli,80000000,23,Georgia,-,14,5,3,2,0,1,7,0,0
William Saliba,Centre-Back,Arsenal FC,80000000,23,France,Cameroon,14,0,0,3,1,0,0,0,0
Luis Díaz,Left Winger,Liverpool FC,80000000,27,Colombia,-,10,5,1,0,0,3,6,0,0
Rúben Dias,Centre-Back,Manchester City,80000000,27,Portugal,-,15,0,0,5,0,2,0,0,1
Nicolò Barella,Central Midfield,Inter Milan,80000000,27,Italy,-,5,1,1,0,0,0,3,0,0
Moisés Caicedo,Defensive Midfield,Chelsea FC,75000000,22,Ecuador,-,10,0,2,2,0,1,2,0,0
Enzo Fernández,Central Midfield,Chelsea FC,75000000,23,Argentina,-,9,0,1,1,0,2,4,0,0
Julián Alvarez,Centre-Forward,Atlético de Madrid,75000000,24,Argentina,Italy,12,3,1,1,0,4,7,0,0
Alexis Mac Allister,Central Midfield,Liverpool FC,75000000,25,Argentina,Italy,11,1,0,3,0,2,3,0,0
Josko Gvardiol,Left-Back,Manchester City,75000000,22,Croatia,-,16,2,0,1,0,2,3,0,0
Dominik Szoboszlai,Central Midfield,Liverpool FC,75000000,23,Hungary,-,14,3,3,3,0,1,3,0,0
Gabriel Magalhães,Centre-Back,Arsenal FC,75000000,26,Brazil,-,11,2,0,1,0,1,0,0,0
Victor Osimhen,Centre-Forward,Galatasaray,75000000,25,Nigeria,-,5,3,4,0,0,1,2,0,0
Rafael Leão,Left Winger,AC Milan,75000000,25,Portugal,Angola,13,1,6,0,0,2,6,0,0
Alexander Isak,Centre-Forward,Newcastle United,75000000,25,Sweden,Eritrea,9,4,1,0,0,0,2,0,0
Kai Havertz,Centre-Forward,Arsenal FC,75000000,25,Germany,-,13,7,1,0,0,1,0,0,0
Nico Williams,Left Winger,Athletic Bilbao,70000000,22,Spain,Ghana,12,1,2,2,0,3,6,0,0
Ronald Araujo,Centre-Back,FC Barcelona,70000000,25,Uruguay,Spain,0,0,0,0,0,0,0,0,0
Viktor Gyökeres,Centre-Forward,Sporting CP,70000000,26,Sweden,Hungary,16,16,7,0,0,1,2,0,0
Alessandro Bastoni,Centre-Back,Inter Milan,70000000,25,Italy,-,12,0,1,0,0,0,5,0,0
Trent Alexander-Arnold,Right-Back,Liverpool FC,70000000,26,England,-,14,1,3,2,0,0,6,0,0
James Maddison,Attacking Midfield,Tottenham Hotspur,70000000,27,England,-,10,2,4,3,0,2,8,0,0
Bernardo Silva,Attacking Midfield,Manchester City,70000000,30,Portugal,-,14,2,3,4,0,3,3,0,0
Bradley Barcola,Left Winger,Paris Saint-Germain,65000000,22,France,Togo,14,9,1,0,0,3,7,0,0
Rasmus Højlund,Centre-Forward,Manchester United,65000000,21,Denmark,-,8,2,0,0,0,4,4,0,0
Michael Olise,Right Winger,Bayern Munich,65000000,22,France,England,13,6,3,0,0,3,10,0,0
Darwin Núñez,Centre-Forward,Liverpool FC,65000000,25,Uruguay,-,8,1,1,1,0,5,2,0,0
Jérémy Doku,Left Winger,Manchester City,65000000,22,Belgium,Ghana,15,2,3,0,0,3,9,0,0
Dušan Vlahović,Centre-Forward,Juventus FC,65000000,24,Serbia,-,10,7,1,0,0,0,2,0,0
Cristian Romero,Centre-Back,Tottenham Hotspur,65000000,26,Argentina,-,9,1,0,0,0,0,0,0,0
Christopher Nkunku,Attacking Midfield,Chelsea FC,65000000,26,France,DR Congo,14,8,0,0,0,8,5,0,0
Ollie Watkins,Centre-Forward,Aston Villa,65000000,28,England,-,12,5,5,0,0,2,9,0,0
