Year,GDP
1960,4.12
1961,4.24
1962,4.62
1963,5.13
1964,5.69
1965,6.38
1966,7.25
1967,8.32
1968,9.51
1969,10.99
1970,12.79
1971,14.31
1972,16.74
1973,20.67
1974,29.72
1975,34.95
1976,45.50
1977,55.33
1978,56.56
1979,45.23
1980,42.31
1981,39.89
1982,39.44
1983,40.88
1984,41.10
1985,40.78
1986,35.75
1987,39.80
1988,40.66
1989,44.22
1990,57.49
1991,65.37
1992,76.83
1993,84.14
1994,87.10
1995,95.08
1996,102.34
1997,105.08
1998,98.20
1999,101.34
2000,108.11
2001,115.54
2002,126.69
2003,145.22
2004,173.12
2005,196.12
2006,222.88
2007,286.06
2008,344.82
2009,385.14
2010,417.99
2011,486.24
2012,510.62
2013,460.30
2014,425.40
2015,385.88
2016,418.98
2017,454.01
2018,366.44
2019,264.01
2020,231.55
2021,359.71
2022,388.54
