Title,Production,Certificate,Genre(s),Rating
Game of Thrones,(2011–2019),A,"Action, Adventure, Drama",9.3
Breaking Bad,(2008–2013),18,"Crime, Drama, Thriller",9.5
The Walking Dead,(2010– ),18+,"Drama, Horror, Thriller",8.2
Friends,(1994–2004),13+,"Comedy, Romance",8.9
Stranger Things,(2016– ),15,"Drama, Fantasy, Horror",8.7
Sherlock,(2010–2017),UA,"Crime, Drama, Mystery",9.1
The Big Bang Theory,(2007–2019),U,"Comedy, Romance",8.1
Dexter,(2006–2021),A,"Crime, Drama, Mystery",8.6
How I Met Your Mother,(2005–2014),15+,"Comedy, Romance",8.3
True Detective,(2014– ),A,"Crime, Drama, Mystery",9.0
Lost,(2004–2010),A,"Adventure, Drama, Fantasy",8.3
Prison Break,(2005–2017),UA,"Action, Crime, Drama",8.3
House of Cards,(2013–2018),16+,Drama,8.7
Black Mirror,(2011– ),A,"Drama, Sci-Fi, Thriller",8.8
Vikings,(2013–2020),A,"Action, Adventure, Drama",8.5
Westworld,(2016– ),A,"Drama, Mystery, Sci-Fi",8.6
The Office,(2005–2013),U,Comedy,8.9
House M.D.,(2004–2012),UA,"Drama, Mystery",8.7
Arrow,(2012–2020),A,"Action, Adventure, Crime",7.5
Supernatural,(2005–2020),16+,"Drama, Fantasy, Horror",8.4
Rick and Morty,(2013– ),16+,"Animation, Adventure, Comedy",9.2
The Simpsons,(1989– ),U,"Animation, Comedy",8.7
Suits,(2011–2019),13+,"Comedy, Drama",8.5
Daredevil,(2015–2018),18+,"Action, Crime, Drama",8.6
Narcos,(2015–2017),A,"Biography, Crime, Drama",8.8
Modern Family,(2009–2020),12+,"Comedy, Drama, Romance",8.4
Peaky Blinders,(2013– ),A,"Crime, Drama",8.8
Mr. Robot,(2015–2019),16+,"Crime, Drama, Thriller",8.6
South Park,(1997– ),18+,"Animation, Comedy",8.7
Fargo,(2014– ),16+,"Crime, Drama, Thriller",8.9
Better Call Saul,(2015–2021),16+,"Crime, Drama",8.7
Homeland,(2011–2020),UA,"Crime, Drama, Mystery",8.3
The Flash,(2014– ),12+,"Action, Adventure, Drama",7.7
Family Guy,(1999– ),13,"Animation, Comedy",8.1
The Sopranos,(1999–2007),15+,"Crime, Drama",9.2
The Witcher,(2019– ),,"Action, Adventure, Fantasy",8.2
La casa de papel,(2017– ),16+,"Action, Crime, Mystery",8.3
The Mandalorian,(2019– ),U,"Action, Adventure, Sci-Fi",8.8
The Wire,(2002–2008),15+,"Crime, Drama, Thriller",9.3
Dark,(2017–2020),16+,"Crime, Drama, Mystery",8.8
The Vampire Diaries,(2009–2017),16+,"Drama, Fantasy, Horror",7.7
Orange Is the New Black,(2013–2019),18+,"Comedy, Crime, Drama",8.1
American Horror Story,(2011– ),A,"Drama, Horror, Thriller",8.0
Arrested Development,(2003–2019),A,Comedy,8.7
Sons of Anarchy,(2008–2014),18,"Crime, Drama, Thriller",8.5
13 Reasons Why,(2017–2020),16+,"Drama, Mystery, Thriller",7.6
Seinfeld,(1989–1998),13,Comedy,8.8
Grey's Anatomy,(2005– ),15+,"Drama, Romance",7.6
Avatar: The Last Airbender,(2005–2008),U,"Animation, Action, Adventure",9.2
The Boys,(2019– ),18+,"Action, Comedy, Crime",8.7
Firefly,(2002–2003),,"Adventure, Drama, Sci-Fi",9.0
Two and a Half Men,(2003–2015),16+,"Comedy, Romance",7.0
Death Note: Desu nôto,(2006–2007),16+,"Animation, Crime, Drama",9.0
Scrubs,(2001–2010),,"Comedy, Drama",8.3
Lucifer,(2016– ),15,"Crime, Drama, Fantasy",8.1
Heroes,(II) (2006–2010),16,"Drama, Fantasy, Sci-Fi",7.5
True Blood,(2008–2014),18,"Drama, Fantasy, Mystery",7.8
Hannibal,(2013–2015),A,"Crime, Drama, Horror",8.5
Brooklyn Nine-Nine,(2013–2022),13+,"Comedy, Crime",8.4
Spartacus: Blood and Sand,(2010–2013),16+,"Action, Adventure, Biography",8.5
Fringe,(2008–2013),16,"Drama, Mystery, Sci-Fi",8.4
Community,(2009–2015),U,Comedy,8.5
Mindhunter,(2017–2019),16+,"Crime, Drama, Thriller",8.6
The 100,(2014–2020),A,"Drama, Mystery, Sci-Fi",7.6
Parks and Recreation,(2009–2020),13,Comedy,8.6
Futurama,(1999–2013),7,"Animation, Comedy, Sci-Fi",8.4
Gotham,(2014–2019),18+,"Action, Crime, Drama",7.8
Once Upon a Time,(2011–2018),16+,"Adventure, Fantasy, Romance",7.7
Mad Men,(2007–2015),16+,Drama,8.6
Shameless,(2011–2021),18+,"Comedy, Drama",8.6
Shingeki no kyojin,(2013– ),13,"Animation, Action, Adventure",8.9
Doctor Who,(2005– ),U,"Adventure, Drama, Family",8.6
Agents of S.H.I.E.L.D.,(2013–2020),16+,"Action, Adventure, Drama",7.5
The X Files,(1993–2018),,"Crime, Drama, Mystery",8.6
The Blacklist,(2013– ),16+,"Crime, Drama, Mystery",8.0
Jessica Jones,(2015–2019),18,"Action, Crime, Drama",7.9
New Girl,(2011–2018),15+,Comedy,7.7
It's Always Sunny in Philadelphia,(2005– ),15+,Comedy,8.8
Ozark,(2017– ),16+,"Crime, Drama, Thriller",8.4
The Punisher,(2017–2019),A,"Action, Crime, Drama",8.5
Twin Peaks,(1990–1991),18,"Crime, Drama, Mystery",8.8
The Handmaid's Tale,(2017– ),A,"Drama, Sci-Fi, Thriller",8.4
Boardwalk Empire,(2010–2014),,"Crime, Drama, History",8.5
24,(2001–2010),U,"Action, Crime, Drama",8.3
Californication,(2007–2014),18,"Comedy, Drama",8.3
The Mentalist,(2008– ),16+,"Crime, Drama, Mystery",8.1
Downton Abbey,(2010–2015),7+,"Drama, Romance",8.7
Person of Interest,(2011–2016),16,"Action, Crime, Drama",8.4
Criminal Minds,(2005–2020),,"Crime, Drama, Mystery",8.1
The Umbrella Academy,(2019– ),16+,"Action, Adventure, Comedy",8.0
Sex Education,(2019– ),A,"Comedy, Drama",8.3
Entourage,(2004–2011),15+,"Comedy, Drama",8.4
Big Little Lies,(2017–2019),15+,"Crime, Drama, Mystery",8.5
Rome,(2005–2007),18,"Action, Drama, History",8.7
Gossip Girl,(2007–2012),18,"Drama, Romance",7.4
That '70s Show,(1998–2006),18,"Comedy, Romance",8.1
Battlestar Galactica,(2004–2009),U,"Action, Adventure, Drama",8.7
Pretty Little Liars,(2010–2017),A,"Drama, Mystery, Romance",7.4
The Crown,(2016– ),16+,"Biography, Drama, History",8.7
The End of the F***ing World,(2017–2019),18+,"Adventure, Comedy, Crime",8.1
You,(2018– ),16+,"Crime, Drama, Romance",7.7
Altered Carbon,(2018–2020),16+,"Action, Drama, Sci-Fi",8.0
Castle,(2009–2016),A,"Comedy, Crime, Drama",8.1
Bones,(2005–2017),15+,"Comedy, Crime, Drama",7.8
Sense8,(2015–2018),18,"Drama, Mystery, Sci-Fi",8.3
Archer,(2009– ),18,"Animation, Action, Comedy",8.6
Glee,(2009–2015),18,"Comedy, Drama, Music",6.7
The IT Crowd,(2006–2013),16,Comedy,8.5
Buffy the Vampire Slayer,(1997–2003),A,"Action, Drama, Fantasy",8.2
Freaks and Geeks,(1999–2000),,"Comedy, Drama",8.8
How to Get Away with Murder,(2014–2020),18+,"Crime, Drama, Mystery",8.1
Chuck,(2007–2012),16,"Action, Comedy, Drama",8.2
Teen Wolf,(2011–2017),18,"Action, Drama, Fantasy",7.6
Silicon Valley,(2014–2019),15+,Comedy,8.5
Outlander,(2014– ),A,"Drama, Fantasy, Romance",8.4
Hagane no renkinjutsushi,(2009–2012),18+,"Animation, Action, Adventure",9.1
The Fresh Prince of Bel-Air,(1990–1996),U,Comedy,7.9
Luther,(2010–2019),18,"Crime, Drama, Mystery",8.5
